,trans_date_trans_time,cc_num,merchant,category,amt,first,last,gender,street,city,state,zip,lat,long,city_pop,job,dob,trans_num,unix_time,merch_lat,merch_long,is_fraud
A,8/20/2020 2:53,4.24E+15,fraud_Howe PLC,entertainment,219.66,Carl,Hernandez,M,9134 Darryl Flat Suite 916,Paulding,OH,45879,41.141,-84.5722,6284,Secondary school teacher,3/27/1936,a6fce2ca6370990de90a8a4705ede166,1376967190,41.853691,-84.255284,0
B,8/20/2020 2:53,3.79E+14,fraud_Marks Inc,gas_transport,49.7,Debra,Eaton,F,72743 Brian Run,Paradise Valley,AZ,85253,33.5494,-111.9565,17047,Building surveyor,1/29/1935,bcf786eb5189ae2ae910bd9be11ab686,1376967234,33.642485,-111.316881,0
A,8/20/2020 2:55,3.85E+13,fraud_Harber Inc,gas_transport,91.32,Laura,Johns,F,95835 Garcia Rue,Arcadia,SC,29320,34.9572,-81.9916,530,Animal technologist,5/14/1989,60a495d48bb48e27412d7e3e5ea77dbe,1376967322,35.932155,-82.406744,0
B,8/20/2020 2:55,3.03E+13,"fraud_Olson, Becker and Koch",gas_transport,58.77,Lisa,Lin,F,908 Brooks Brook,Lomax,IL,61454,40.6761,-91.0391,725,Environmental consultant,11/28/1972,def84668d8903f7487d919bbbe97d1f2,1376967344,39.892744,-90.809563,0
A,8/20/2020 2:55,6.54E+15,fraud_Kuvalis Ltd,gas_transport,60.19,John,Myers,M,701 Wilson Divide,Highland,IN,46322,41.55,-87.4569,23727,Community arts worker,2/8/1982,69c3545aa3f4f676dcaa9e5f8a720f15,1376967345,42.520831,-88.302684,0
B,8/20/2020 2:56,3.86E+13,"fraud_Heller, Gutmann and Zieme",grocery_pos,98.26,Jacqueline,Curry,F,3047 Jeff Place,Marathon,TX,79842,30.1886,-103.2214,498,Lexicographer,11/23/1990,e0aa1149892abf74a485cf55acc23c4b,1376967412,30.548664,-102.294771,0
A,8/20/2020 2:59,3.55E+15,fraud_Deckow-O'Conner,grocery_pos,100.65,Cory,Thomas,M,6458 Roberson Alley,Williamsburg,MO,63388,38.8874,-91.7689,710,Glass blower/designer,9/27/1970,ff7f4f9512182e7820bf2c8b65de101c,1376967568,39.275262,-92.489549,0
B,8/20/2020 3:00,3.76E+14,fraud_Fisher-Schowalter,shopping_net,4.32,Christopher,Carr,M,62931 Ralph Court,Lakeland,FL,33813,27.9611,-81.9398,237282,"Radiographer, therapeutic",9/28/1961,a7226abce6c0f025557ef9b8f3e6afe6,1376967632,28.736187,-81.722534,0
A,8/20/2020 3:03,4.72E+15,fraud_Barton Inc,grocery_pos,125.65,Lauren,Anderson,F,11014 Chad Lake Apt. 573,Heart Butte,MT,59448,48.2777,-112.8456,743,Water engineer,5/4/1972,e096733f818b818464832b903812eb81,1376967790,48.049951,-112.268437,0
B,8/20/2020 3:04,6.39E+11,"fraud_Quitzon, Green and Bashirian",shopping_pos,2.3,Justin,Carter,M,853 Miller Bypass Suite 802,Broomfield,CO,80021,39.8854,-105.1139,92337,"Engineer, electronics",10/18/1967,fc9e96f1e0af19608606b16fb1311085,1376967840,39.452913,-106.101533,0
A,8/20/2020 3:04,4.71E+15,"fraud_Kuhic, Bins and Pfeffer",shopping_net,2.8,Jared,Walters,M,3326 Hannah Fords,Cord,AR,72524,35.8184,-91.3375,376,"Designer, ceramics/pottery",9/8/1938,fcb485d1d4db316372c9b07096ebfa5b,1376967854,36.529465,-91.70403,0
B,8/20/2020 3:04,4.54E+12,"fraud_Baumbach, Strosin and Nicolas",shopping_pos,5.56,Jerry,Kelly,M,3539 Mckenzie Stream,Fairview,NJ,7022,40.817,-74,13835,"Programmer, multimedia",5/28/1967,06cf6af5b379c083672b5cc8fbcc9f93,1376967855,40.269773,-74.277498,0
A,8/20/2020 3:04,4.39E+12,"fraud_Little, Gutmann and Lynch",shopping_net,113.36,Charles,Rodriguez,M,240 Tracy Forges,Easton,KS,66020,39.3391,-95.0999,1442,Air broker,5/20/1982,b4ff23d1b651e78bed62762513d90807,1376967860,39.650626,-94.758636,0
B,8/20/2020 3:05,5.68E+11,fraud_Pfeffer LLC,grocery_net,129.17,Dawn,Tucker,F,789 Herring Manors,Houston,TX,77007,29.7736,-95.4034,2906700,"Copywriter, advertising",12/16/1984,0fb909cabcd1f56c82ae5829f607ac4b,1376967911,29.802228,-95.127972,0
A,8/20/2020 3:05,3.58E+15,fraud_Marks Inc,gas_transport,68.75,Terrance,Mckinney,M,42965 Christopher Fords Suite 659,Norman,AR,71960,34.4596,-93.6743,1383,Magazine features editor,8/8/1966,bb5666ecb3203b71a25325700ee76a70,1376967950,35.325711,-93.031714,0
B,8/20/2020 3:06,6.76E+11,"fraud_Hoppe, Harris and Bednar",entertainment,117.72,Amanda,Wheeler,F,329 Emily Cape,Cape Coral,FL,33909,26.6939,-81.9452,156391,Higher education careers adviser,2/9/1968,aa338fbd0f9854e8f0a6056d99e3acee,1376967964,27.626787,-81.524519,0
A,8/20/2020 3:06,2.24E+15,"fraud_Raynor, Reinger and Hagenes",gas_transport,54.34,Maria,Rosales,F,6611 Parrish Garden Apt. 428,Waynesfield,OH,45896,40.6072,-83.9585,2089,Building control surveyor,6/22/1963,63f12e14b83cfc16a5ed0f9806add867,1376967997,39.916543,-83.022306,0
B,8/20/2020 3:07,3.54E+15,fraud_Wuckert-Walter,grocery_net,43.76,Matthew,Myers,M,4936 Michelle Points,Tower Hill,IL,62571,39.39,-88.9597,1532,Radio broadcast assistant,1/9/1980,de5bc0184c250e47db7dccb94b9e34c7,1376968065,39.777059,-89.467813,0
A,8/20/2020 3:07,5.02E+11,"fraud_Moore, Dibbert and Koepp",misc_net,3.3,Jessica,Dominguez,F,06393 Nancy Parkways Suite 855,Gadsden,AL,35903,33.9845,-85.9077,67082,Ceramics designer,1/8/1970,690afd8dedc928fd83b71def2084e1e0,1376968073,34.401303,-86.485564,0
B,8/20/2020 3:08,3.50E+15,fraud_Roob LLC,grocery_net,24.41,Frank,Anderson,M,0611 Stafford Valley Suite 504,Naples,FL,34112,26.1184,-81.7361,276002,"Programme researcher, broadcasting/film/video",1/2/1979,35c0fd74f870ba1193d595807c225007,1376968083,26.099978,-81.160227,0
